"type","url","status","indexable","in_sitemap","title","h1","words_approx","products","recommendation"
"product","https://medhub.ae/product/contour-cpap-max-pillow-15-551r/","200","yes","yes","Contour CPAP Max Pillow 15-551R","Contour CPAP Max Pillow 15-551R","","CPAP/BiPAP Accessories; Sleep Support & Comfort Solutions | AED 376.95 | in stock | Contour","KEEP URL"
"product","https://medhub.ae/product/contour-cpap-pillow-2-0-14-151r/","200","yes","yes","Contour CPAP Pillow 2.0 14-151R","Contour CPAP Pillow 2.0 14-151R","","CPAP/BiPAP Accessories; Sleep Support & Comfort Solutions | AED 313.95 | in stock | Contour","KEEP URL"
"product","https://medhub.ae/product/yuwell-7e-g1-portable-phlegm-suction-unit/","200","yes","yes","Yuwell 7E-G1 Portable Phlegm Suction Unit","Yuwell 7E-G1 Portable Phlegm Suction Unit","","Suction Machine | AED 1350 | in stock | Yuwell","KEEP URL"
"product","https://medhub.ae/product/molnlycke-granudacyn-wound-irrigation-solution-500ml/","200","yes","yes","Molnlycke Granudacyn Wound Irrigation Solution 500ml","Molnlycke Granudacyn Wound Irrigation Solution 500ml","","Hygiene & Infection Control | AED 200 | out of stock | Molnlycke","KEEP URL"
"product","https://medhub.ae/product/attends-cover-dri-plus-80x170cm-incontinence-underpads-30s/","200","yes","yes","Attends Cover Dri Plus 80x170cm Incontinence Underpads 30/Pack","Attends Cover Dri Plus 80x170cm Incontinence Underpads 30/Pack","","Hygiene & Infection Control | AED 109.46 | in stock | Attends","KEEP URL"
"product","https://medhub.ae/product/activheal-silicone-adhesive-border-foam-15x15cm-10-box/","200","yes","yes","Activheal Silicone Adhesive Border Foam 15x15cm 10/Box","Activheal Silicone Adhesive Border Foam 15x15cm 10/Box","","Wound Care | AED 425 | in stock | Activheal","KEEP URL"
"product","https://medhub.ae/product/activheal-silicone-foam-adhesive-border-dressing-10x10cm-10-box/","200","yes","yes","Activheal Silicone Foam Adhesive Border Dressing 10x10cm 10/Box","Activheal Silicone Foam Adhesive Border Dressing 10x10cm 10/Box","","Wound Care | AED 225 | in stock | Molnlycke","KEEP URL"
"product","https://medhub.ae/product/activheal-tracheostomy-foam-non-adhesive-10x10cm-4c4in-10-box/","200","yes","yes","Activheal Tracheostomy Foam Non-Adhesive 10x10cm (4c4in) 10/Box","Activheal Tracheostomy Foam Non-Adhesive 10x10cm (4c4in) 10/Box","","Wound Care | AED 220 | in stock | Activheal","KEEP URL"
"product","https://medhub.ae/product/molnlycke-mepilex-border-sacrum-22x25cm-8-7x9-8-inch-5-box/","200","yes","yes","Molnlycke Mepilex Border Sacrum 22x25cm 8.7x9.8 inch 5/Box","Molnlycke Mepilex Border Sacrum 22x25cm 8.7x9.8 inch 5/Box","","Wound Care | AED 630 | in stock | Molnlycke","KEEP URL"
"product","https://medhub.ae/product/molnlycke-mepilex-border-sacrum-16x20cm-6-3x7-9-inch-5-pack/","200","yes","yes","Molnlycke Mepilex Border Sacrum 16x20cm (6.3x7.9 inch) 5/Box","Molnlycke Mepilex Border Sacrum 16x20cm (6.3x7.9 inch) 5/Box","","Wound Care | AED 500 | in stock | Molnlycke","KEEP URL"
"product","https://medhub.ae/product/molnlycke-mepilex-border-flex-15x15cm-6x6-inch-5-pack/","200","yes","yes","Molnlycke Mepilex Border Flex 15x15cm (6x6 inch) 5/Pack","Molnlycke Mepilex Border Flex 15x15cm (6x6 inch) 5/Pack","","Wound Care | AED 315 | in stock | Molnlycke","KEEP URL"
"product","https://medhub.ae/product/molnlycke-mepilex-border-flex-10x10-cm-4x4inch-5-pack/","200","yes","yes","Molnlycke Mepilex Border Flex 10x10 cm (4x4inch) 5/Pack","Molnlycke Mepilex Border Flex 10x10 cm (4x4inch) 5/Pack","","Wound Care | AED 300 | in stock | Molnlycke","KEEP URL"
"product","https://medhub.ae/product/portex-suctionpro-72-closed-ventilation-suction-catheter-z215-12/","200","yes","yes","Portex SuctionPro 72 Closed Ventilation Suction Catheter Z215-12","Portex SuctionPro 72 Closed Ventilation Suction Catheter Z215-12","","Ventilator Accessories | AED 65 | out of stock | Portex","KEEP URL"
"product","https://medhub.ae/product/compact-soft-nasogastric-feeding-tube-12fr-120-cm-s/","200","yes","yes","Compact Soft Nasogastric Feeding Tube 12FR 120 cm S","Compact Soft Nasogastric Feeding Tube 12FR 120 cm S","","Nasogastric Tubes | AED 100 | out of stock","KEEP URL"
"product","https://medhub.ae/product/attends-slip-regular-8-large-28s-pack/","200","yes","yes","Attends Slip Regular 8 large Diapers 28's Pack","Attends Slip Regular 8 large Diapers 28's Pack","","Hygiene & Infection Control | AED 119.7 | out of stock | Attends","KEEP URL"
"product","https://medhub.ae/product/covidien-dar-hme-for-tracheostomized-patients/","200","yes","yes","Covidien DAR HME for Tracheostomized Patients","Covidien DAR HME for Tracheostomized Patients","","Tracheostomy Care | AED 312.5 | in stock | Covidien","KEEP URL"
"product","https://medhub.ae/product/beurer-bm-28-upper-arm-blood-pressure-monitor-on-pank/","200","yes","yes","Beurer BM 28 Upper Arm Blood Pressure Monitor on Pank","Beurer BM 28 Upper Arm Blood Pressure Monitor on Pank","","Health Monitoring | AED 180 | in stock | Beurer","KEEP URL"
"product","https://medhub.ae/product/beurer-bm-27-classic-blood-pressure-monitor/","200","yes","yes","Beurer BM 27+ Classic Blood Pressure Monitor","Beurer BM 27+ Classic Blood Pressure Monitor","","Health Monitoring | AED 150 | in stock | Beurer","KEEP URL"
"product","https://medhub.ae/product/beurer-bm-23-limited-edition-blood-pressure-monitor/","200","yes","yes","Beurer BM 23 Limited Edition Blood Pressure Monitor","Beurer BM 23 Limited Edition Blood Pressure Monitor","","Health Monitoring | AED 115 | in stock | Beurer","KEEP URL"
"product","https://medhub.ae/product/b-braun-infusomat-space-volumetric-infusion-pump/","200","yes","yes","B Braun Infusomat Space Volumetric Infusion Pump","B Braun Infusomat Space Volumetric Infusion Pump","","Infusion Therapy | AED 7850 | in stock | B Braun","KEEP URL"
"product","https://medhub.ae/product/buy-covidien-shileytracheostomy-tube-cuffless-in-dubai-uae-online/","200","yes","yes","Covidien Shiley Pediatric Tracheostomy Tube Cuffless with Inner Cannula 6CFS","Covidien Shiley Pediatric Tracheostomy Tube Cuffless with Inner Cannula 6CFS","","Tracheostomy Care | AED 300 | out of stock | Covidien","KEEP URL"
"product","https://medhub.ae/product/clinell-skin-personal-care-cloths-40s/","200","yes","yes","Clinell Skin Personal Care Cloths 40's","Clinell Skin Personal Care Cloths 40's","","Hygiene & Infection Control | AED 25 | in stock | Clinell","KEEP URL"
"product","https://medhub.ae/product/clinell-universal-wipes-tub-100s/","200","yes","yes","Clinell Universal Wipes Tub 100s","Clinell Universal Wipes Tub 100s","","Hygiene & Infection Control | AED 30 | in stock | Clinell","KEEP URL"
"product","https://medhub.ae/product/hartmann-permafoam-classic-tracheostomy-foam-dressing-10-pack/","200","yes","yes","Hartmann PermaFoam Classic Tracheostomy Foam Dressing 10/Pack","Hartmann PermaFoam Classic Tracheostomy Foam Dressing 10/Pack","","Tracheostomy Care | AED 130 | in stock | Hartmann","KEEP URL"
"product","https://medhub.ae/product/kangaroo-enteral-feeding-pump-refurbished/","200","yes","yes","Kangaroo Enteral Feeding Pump (Refurbished)","Kangaroo Enteral Feeding Pump (Refurbished)","","Feeding Pump | AED 3000 | in stock | Cardinal Health","KEEP URL"
"product","https://medhub.ae/product/3m-inadine-pvp-i-non-adherent-dressing-5-x-5-cm-25pcs-box/","200","yes","yes","3M INADINE™ PVP-I Non-Adherent Dressing 5x5 cm (25PCS/BOX)","3M INADINE™ PVP-I Non-Adherent Dressing 5x5 cm (25PCS/BOX)","","Hygiene & Infection Control | AED 200 | in stock","KEEP URL"
"product","https://medhub.ae/product/3m-inadine-pvp-i-non-adherent-dressing-9-5-x-9-5-cm-25pcs-box/","200","yes","yes","3M INADINE™ PVP-I Non-Adherent Dressing, 9.5 x 9.5 cm (25PCS/BOX)","3M INADINE™ PVP-I Non-Adherent Dressing, 9.5 x 9.5 cm (25PCS/BOX)","","Hygiene & Infection Control | AED 215 | in stock","KEEP URL"
"product","https://medhub.ae/product/dispowipe-aloe-face-and-body-wipes-pack-of-60/","200","yes","yes","Dispowipe Aloe Face and Body Wipes Pack of 60 16 Packs Per Box","Dispowipe Aloe Face and Body Wipes Pack of 60 16 Packs Per Box","","Hygiene & Infection Control | AED 320 | in stock","KEEP URL"
"product","https://medhub.ae/product/medical-econet-proview-10-patient-monitor/","200","yes","yes","Medical Econet Proview 10 Patient Monitor","Medical Econet Proview 10 Patient Monitor","","Patient Monitor | AED 6500 | out of stock | Medical Econet GmbH","KEEP URL"
"product","https://medhub.ae/product/carell-bed-bath-wipes-pack-of-8/","200","yes","yes","Carell Bed Bath Wipes Pack of 8","Carell Bed Bath Wipes Pack of 8","","Hygiene & Infection Control | AED 15 | in stock","KEEP URL"
"product","https://medhub.ae/product/zephair-cpap-hose-connector/","200","yes","yes","ZephAir Universal CPAP Hose Connector","ZephAir Universal CPAP Hose Connector","","CPAP/BiPAP Accessories | AED 220 | in stock | ZephAir","KEEP URL"
"product","https://medhub.ae/product/purdoux-2-in-1-premium-cpap-hose-brush/","200","yes","yes","Purdoux 2 in 1 Premium CPAP Hose Brush","Purdoux 2 in 1 Premium CPAP Hose Brush","","CPAP/BiPAP Accessories | AED 145 | in stock | Purdoux","KEEP URL"
"product","https://medhub.ae/product/best-in-rest-chin-strap/","200","yes","yes","Best in Rest Chin Strap","Best in Rest Chin Strap","","CPAP/BiPAP Accessories | AED 149 | out of stock | Best in Rest","KEEP URL"
"product","https://medhub.ae/product/best-in-rest-cpap-hose-lift/","200","yes","yes","Best in Rest CPAP Hose Lift","Best in Rest CPAP Hose Lift","","CPAP/BiPAP Accessories | AED 225 | in stock | Best in Rest","KEEP URL"
"product","https://medhub.ae/product/inogen-rove-6-portable-oxygen-concentrator/","200","yes","yes","Inogen Rove 6 Portable Oxygen Concentrator","Inogen Rove 6 Portable Oxygen Concentrator","","Portable Oxygen Concentrator | AED 9399 | in stock | Inogen","KEEP URL"
"product","https://medhub.ae/product/ace-sabaah-super-dry-adult-diapers-pack-of-30/","200","yes","yes","Ace Sabaah Super Dry Adult Diapers Pack of 30 Large","Ace Sabaah Super Dry Adult Diapers Pack of 30 Large","","Hygiene & Infection Control | AED 73.5 | in stock | Ace Sabaah","KEEP URL"
"product","https://medhub.ae/product/dignity-premium-adult-diapers-pack-of-10/","200","yes","yes","Dignity Premium Adult Diapers Pack of 10","Dignity Premium Adult Diapers Pack of 10","","Hygiene & Infection Control | AED 36.75 | in stock | Romsons","KEEP URL"
"product","https://medhub.ae/product/palm-care-powder-free-latex-examination-gloves/","200","yes","yes","Palm Care Powder Free Latex Examination Gloves 1 Carton","Palm Care Powder Free Latex Examination Gloves 1 Carton",""," | AED 200 | in stock","KEEP URL"
"product","https://medhub.ae/product/philips-dreamstation-auto-bipap-with-humidifier-and-mask/","200","yes","yes","Philips DreamStation Auto BiPAP with Humidifier and Mask","Philips DreamStation Auto BiPAP with Humidifier and Mask","","Auto BiPAP | AED 6250 | in stock | Philips Respironics","KEEP URL"
"product","https://medhub.ae/product/covidien-kendall-scd-700-sequential-compression-system/","200","yes","yes","Covidien Kendall SCD 700 Sequential Compression System","Covidien Kendall SCD 700 Sequential Compression System","","Therapy & Massage | AED 9000 | in stock | Cardinal Health","KEEP URL"
"product","https://medhub.ae/product/masimo-rad-97-pulse-co-oximeter-with-nibp/","200","yes","yes","Masimo Rad-97 Pulse Co-Oximeter with NIBP","Masimo Rad-97 Pulse Co-Oximeter with NIBP","","Health Monitoring Pulse Oximeter | AED 7500 | in stock | Masimo","KEEP URL"
"product","https://medhub.ae/product/hsiner-disposable-manual-resuscitator/","200","yes","yes","Hsiner Disposable Manual Resuscitator","Hsiner Disposable Manual Resuscitator","","Oxygen Therapy | AED 110 | out of stock","KEEP URL"
"product","https://medhub.ae/product/polifarma-0-9-isotonic-sodium-chloride-irrigation-solution-sterile-1000ml/","200","yes","yes","Polifarma 0.9% Isotonic Sodium Chloride Irrigation Solution Sterile 1000ml 12Pcs/Box","Polifarma 0.9% Isotonic Sodium Chloride Irrigation Solution Sterile 1000ml 12Pcs/Box",""," | AED 180 | in stock","KEEP URL"
"product","https://medhub.ae/product/polifarma-sterile-distilled-water-for-irrigation-500ml/","200","yes","yes","Polifarma Sterile Distilled Water for Irrigation 500ml 20/Box","Polifarma Sterile Distilled Water for Irrigation 500ml 20/Box","","Oxygen Concentrator Accessories; Oxygen Therapy | AED 240 | in stock","KEEP URL"
"product","https://medhub.ae/product/polifarma-sterile-distilled-water-for-irrigation-1000ml/","200","yes","yes","Polifarma Sterile Distilled Water for Irrigation 1000ml 12Pcs/Box","Polifarma Sterile Distilled Water for Irrigation 1000ml 12Pcs/Box","","Oxygen Concentrator Accessories; Oxygen Therapy | AED 210 | in stock","KEEP URL"
"product","https://medhub.ae/product/romsons-power-drool-nebulizer-kit/","200","yes","yes","Romsons Power Drool Nebulizer Kit","Romsons Power Drool Nebulizer Kit","","Tracheostomy Care; Oxygen Therapy | AED 140 | in stock | Romsons","KEEP URL"
"product","https://medhub.ae/product/lomar-underpads-60x90cm-25-pcs-pkt/","200","yes","yes","Lomar Underpads 60x90cm 25 Pcs/Pkt","Lomar Underpads 60x90cm 25 Pcs/Pkt","","Disposables; Hygiene & Infection Control | AED 42 | in stock","KEEP URL"
"product","https://medhub.ae/product/greetmed-suction-catheter-control-connector-sterile-100-box/","200","yes","yes","Greetmed Suction Catheter Thumb Control Connector Sterile 100/Box","Greetmed Suction Catheter Thumb Control Connector Sterile 100/Box","","Suction Machine | AED 200 | in stock","KEEP URL"
"product","https://medhub.ae/product/clinell-body-care-wipes-60s/","200","yes","yes","Clinell Skin Bed Bath Cloths 60's Pack","Clinell Skin Bed Bath Cloths 60's Pack","","Hygiene & Infection Control | AED 35 | in stock","KEEP URL"
"product","https://medhub.ae/product/medel-easy-aerosol-nebulizer/","200","yes","yes","Medel Easy Aerosol Nebulizer","Medel Easy Aerosol Nebulizer","","Oxygen Therapy | AED 220 | in stock","KEEP URL"
"product","https://medhub.ae/product/clinell-2-chlorhexidine-in-70-alcohol/","200","yes","yes","Buy Clinell 2% Chlorhexidine in 70% Alcohol 240's Sachets in Dubai | UAE | Online","Buy Clinell 2% Chlorhexidine in 70% Alcohol 240's Sachets in Dubai | UAE | Online","","Hygiene & Infection Control | AED 65 | in stock","KEEP URL – clean product name (contains ""Buy … in Dubai | UAE | Online"")"
"product","https://medhub.ae/product/avanos-enteral-10ml-syringe-with-enfit-connector-sterile-syr-10s/","200","yes","yes","Buy Avanos Enteral 10ml Syringe with Enfit Connector, Sterile SYR-10S in Dubai | UAE | Online","Buy Avanos Enteral 10ml Syringe with Enfit Connector, Sterile SYR-10S in Dubai | UAE | Online","","Disposables | AED 225 | in stock","KEEP URL – clean product name (contains ""Buy … in Dubai | UAE | Online"")"
"product","https://medhub.ae/product/avanos-enteral-20ml-syringe-with-enfit-connector-sterile-syr-20s/","200","yes","yes","Buy Avanos Enteral 20ml Syringe with Enfit Connector, Sterile SYR-20S in Dubai | UAE | Online","Buy Avanos Enteral 20ml Syringe with Enfit Connector, Sterile SYR-20S in Dubai | UAE | Online","","Disposables | AED 170 | in stock","KEEP URL – clean product name (contains ""Buy … in Dubai | UAE | Online"")"
"product","https://medhub.ae/product/avanos-enfit-60ml-syringe-syr-60s/","200","yes","yes","Buy Avanos Enteral 60ml Syringe with Enfit Connector, Sterile SYR-60S in Dubai | UAE | Online","Buy Avanos Enteral 60ml Syringe with Enfit Connector, Sterile SYR-60S in Dubai | UAE | Online","","Disposables | AED 200 | in stock","KEEP URL – clean product name (contains ""Buy … in Dubai | UAE | Online"")"
"product","https://medhub.ae/product/omron-m2-basic-blood-pressure-monitor/","200","yes","yes","Buy Omron M2 Basic Blood Pressure Monitor in Dubai | UAE | Online","Buy Omron M2 Basic Blood Pressure Monitor in Dubai | UAE | Online","","Health Monitoring | AED 180 | in stock","KEEP URL – clean product name (contains ""Buy … in Dubai | UAE | Online"")"
"product","https://medhub.ae/product/aerogen-solo/","200","yes","yes","Buy Aerogen Solo in Dubai | UAE | Online","Buy Aerogen Solo in Dubai | UAE | Online","","Ventilator Accessories | AED 1800 | out of stock | Aerogen","KEEP URL – clean product name (contains ""Buy … in Dubai | UAE | Online"")"
"product","https://medhub.ae/product/standard-manual-wheelchair/","200","yes","yes","Buy Standard Manual Wheelchair in Dubai | UAE | Online","Buy Standard Manual Wheelchair in Dubai | UAE | Online","","Hospital Furniture | AED 367.5 | out of stock","KEEP URL – clean product name (contains ""Buy … in Dubai | UAE | Online"")"
"product","https://medhub.ae/product/iv-stand/","200","yes","yes","Buy IV Stand in Dubai | UAE | Online","Buy IV Stand in Dubai | UAE | Online","","Hospital Furniture | AED 150 | out of stock","KEEP URL – clean product name (contains ""Buy … in Dubai | UAE | Online"")"
"product","https://medhub.ae/product/hospital-overbed-table/","200","yes","yes","Buy Hospital Overbed Table in Dubai | UAE | Online","Buy Hospital Overbed Table in Dubai | UAE | Online","","Hospital Furniture | AED 399 | in stock","KEEP URL – clean product name (contains ""Buy … in Dubai | UAE | Online"")"
"product","https://medhub.ae/product/bensan-extra-large-bathing-wipes-8s-pack/","200","yes","yes","Carell Everyday Cleaning Shampoo Cap","Carell Everyday Cleaning Shampoo Cap","","Hygiene & Infection Control | AED 30 | in stock","KEEP URL"
"product","https://medhub.ae/product/cavi-wipes-disinfectant-towelettes-160s-can/","200","yes","yes","Buy Cavi Wipes Disinfectant Towelettes 220's Can in Dubai | UAE | Online","Buy Cavi Wipes Disinfectant Towelettes 220's Can in Dubai | UAE | Online","","Hygiene & Infection Control | AED 52.5 | out of stock","KEEP URL – clean product name (contains ""Buy … in Dubai | UAE | Online"")"
"product","https://medhub.ae/product/clinell-universal-wipes-200s-pack/","200","yes","yes","Buy Clinell Universal Wipes 200's Pack in Dubai | UAE | Online","Buy Clinell Universal Wipes 200's Pack in Dubai | UAE | Online","","Hygiene & Infection Control | AED 42 | in stock","KEEP URL – clean product name (contains ""Buy … in Dubai | UAE | Online"")"
"product","https://medhub.ae/product/beurer-lb-37-air-humidifier/","200","yes","yes","Buy Beurer LB 37 Air Humidifier in Dubai | UAE | Online","Buy Beurer LB 37 Air Humidifier in Dubai | UAE | Online","","Oxygen Therapy | AED 315 | out of stock","KEEP URL – clean product name (contains ""Buy … in Dubai | UAE | Online"")"
"product","https://medhub.ae/product/beurer-si-40-steam-inhaler/","200","yes","yes","Buy Beurer SI 40 Steam Inhaler in Dubai | UAE | Online","Buy Beurer SI 40 Steam Inhaler in Dubai | UAE | Online","","Oxygen Therapy | AED 220 | in stock","KEEP URL – clean product name (contains ""Buy … in Dubai | UAE | Online"")"
"product","https://medhub.ae/product/drive-airforce-one-nebulizer-compressor/","200","yes","yes","Buy Drive AirForce One Nebulizer Compressor in Dubai | UAE | Online","Buy Drive AirForce One Nebulizer Compressor in Dubai | UAE | Online","","Oxygen Therapy | AED 210 | out of stock","KEEP URL – clean product name (contains ""Buy … in Dubai | UAE | Online"")"
"product","https://medhub.ae/product/braun-thermoscan-7-with-age-precision-ear-thermometer/","200","yes","yes","Buy Braun Thermoscan 7 with Age Precision Ear Thermometer in Dubai | UAE | Online","Buy Braun Thermoscan 7 with Age Precision Ear Thermometer in Dubai | UAE | Online","","Health Monitoring | AED 230 | in stock","KEEP URL – clean product name (contains ""Buy … in Dubai | UAE | Online"")"
"product","https://medhub.ae/product/vivachek-ino-blood-glucose-monitor-value-pack/","200","yes","yes","Buy VivaChek Ino Blood Glucose Monitor (Value Pack) in Dubai | UAE | Online","Buy VivaChek Ino Blood Glucose Monitor (Value Pack) in Dubai | UAE | Online","","Health Monitoring | AED 168 | in stock","KEEP URL – clean product name (contains ""Buy … in Dubai | UAE | Online"")"
"product","https://medhub.ae/product/wave-balance-automatic-digital-blood-pressure-monitor/","200","yes","yes","Buy Wave Balance Automatic Digital Blood Pressure Monitor in Dubai | UAE | Online","Buy Wave Balance Automatic Digital Blood Pressure Monitor in Dubai | UAE | Online","","Health Monitoring | AED 126 | out of stock","KEEP URL – clean product name (contains ""Buy … in Dubai | UAE | Online"")"
"product","https://medhub.ae/product/heartplus-nt-180-aed-pads/","200","yes","yes","Buy HeartPlus NT-180 AED Pads in Dubai | UAE | Online","Buy HeartPlus NT-180 AED Pads in Dubai | UAE | Online","","Health Monitoring | AED 450 | out of stock","KEEP URL – clean product name (contains ""Buy … in Dubai | UAE | Online"")"
"product","https://medhub.ae/product/philips-heartstart-smart-pads-ii/","200","yes","yes","Buy Philips HeartStart Smart Pads II in Dubai | UAE | Online","Buy Philips HeartStart Smart Pads II in Dubai | UAE | Online","","Health Monitoring | AED 750 | out of stock","KEEP URL – clean product name (contains ""Buy … in Dubai | UAE | Online"")"
"product","https://medhub.ae/product/zoll-aed-stat-padz-ii-adult-electrodes/","200","yes","yes","buy Zoll AED Stat-padz II Adult Electrodes in Dubai | UAE | Online","buy Zoll AED Stat-padz II Adult Electrodes in Dubai | UAE | Online","","Health Monitoring | AED 450 | out of stock","KEEP URL"
"product","https://medhub.ae/product/heartplus-nt-180-automated-external-defibrillator-aed/","200","yes","yes","Buy HeartPlus NT-180 Automated External Defibrillator (AED) in Dubai | UAE | Online","Buy HeartPlus NT-180 Automated External Defibrillator (AED) in Dubai | UAE | Online","","Health Monitoring | AED 3250 | out of stock","KEEP URL – clean product name (contains ""Buy … in Dubai | UAE | Online"")"
"product","https://medhub.ae/product/heart-guardian-hr-501-automated-external-defibrillator/","200","yes","yes","buy Heart Guardian HR-501 Automated External Defibrillator in Dubai | UAE | Online","buy Heart Guardian HR-501 Automated External Defibrillator in Dubai | UAE | Online","","Health Monitoring | AED 3350 | out of stock","KEEP URL"
"product","https://medhub.ae/product/philips-heartstart-frx-automated-external-defibrillator-aed/","200","yes","yes","Buy Philips HeartStart FRx Automated External Defibrillator (AED) in Dubai | UAE | Online","Buy Philips HeartStart FRx Automated External Defibrillator (AED) in Dubai | UAE | Online","","Health Monitoring | AED 8000 | out of stock","KEEP URL – clean product name (contains ""Buy … in Dubai | UAE | Online"")"
"product","https://medhub.ae/product/zoll-aed-plus-automated-external-defibrillator/","200","yes","yes","Buy Zoll AED Plus Automated External Defibrillator in Dubai | UAE | Online","Buy Zoll AED Plus Automated External Defibrillator in Dubai | UAE | Online","","Health Monitoring | AED 7200 | in stock","KEEP URL – clean product name (contains ""Buy … in Dubai | UAE | Online"")"
"product","https://medhub.ae/product/hydraulic-patient-transfer-commode-chair/","200","yes","yes","Buy Hydraulic Patient Transfer Commode Chair in Dubai | UAE | Online","Buy Hydraulic Patient Transfer Commode Chair in Dubai | UAE | Online","","Hospital Furniture | AED 3885 | out of stock","KEEP URL – clean product name (contains ""Buy … in Dubai | UAE | Online"")"
"product","https://medhub.ae/product/alerta-emerald-air-mattress-overlay-system/","200","yes","yes","Buy Alerta Emerald Air Mattress Overlay System in Dubai | UAE | Online","Buy Alerta Emerald Air Mattress Overlay System in Dubai | UAE | Online","","Hospital Furniture | AED 4620 | in stock","KEEP URL – clean product name (contains ""Buy … in Dubai | UAE | Online"")"
"product","https://medhub.ae/product/healthward-sectional-memory-foam-mattress/","200","yes","yes","Buy Healthward Sectional Memory Foam Mattress in Dubai | UAE | Online","Buy Healthward Sectional Memory Foam Mattress in Dubai | UAE | Online","","Hospital Furniture; Patient Bed | AED 787.5 | in stock","KEEP URL – clean product name (contains ""Buy … in Dubai | UAE | Online"")"
"product","https://medhub.ae/product/invacare-birdie-evo-180kg-patient-lifter-with-sling/","200","yes","yes","Buy Invacare Birdie Evo 180Kg Patient Lifter with Sling in Dubai | UAE | Online","Buy Invacare Birdie Evo 180Kg Patient Lifter with Sling in Dubai | UAE | Online","","Hospital Furniture | AED 6825 | out of stock","KEEP URL – clean product name (contains ""Buy … in Dubai | UAE | Online"")"
"product","https://medhub.ae/product/drive-devilbiss-wheeled-commode-chair-trs-130/","200","yes","yes","Buy Drive DeVilbiss Wheeled Commode Chair TRS 130 in Dubai | UAE | Online","Buy Drive DeVilbiss Wheeled Commode Chair TRS 130 in Dubai | UAE | Online","","Hospital Furniture | AED 787.5 | in stock","KEEP URL – clean product name (contains ""Buy … in Dubai | UAE | Online"")"
"product","https://medhub.ae/product/standard-wheelchair-manual/","200","yes","yes","Buy Standard Wheelchair Manual in Dubai | UAE | Online","Buy Standard Wheelchair Manual in Dubai | UAE | Online","","Hospital Furniture | AED 357 | out of stock","KEEP URL – clean product name (contains ""Buy … in Dubai | UAE | Online"")"
"product","https://medhub.ae/product/avanos-ballard-turbo-cleaning-closed-suction-system/","200","yes","yes","Avanos Ballard Turbo Cleaning Closed Suction System FR08","Avanos Ballard Turbo Cleaning Closed Suction System FR08","","Tracheostomy Care | AED 90 | in stock","KEEP URL"
"product","https://medhub.ae/product/romsons-catheter-mount/","200","yes","yes","Buy Romsons Catheter Mount in Dubai | UAE | Online","Buy Romsons Catheter Mount in Dubai | UAE | Online","","Tracheostomy Care; Ventilator Accessories | AED 100 | in stock","KEEP URL – clean product name (contains ""Buy … in Dubai | UAE | Online"")"
"product","https://medhub.ae/product/flexicare-thermotrach-tracheostomy-hme-with-vent-swivel-oxygen-port-2-1m-oxygen-tubing/","200","yes","yes","Flexicare ThermoTrach Tracheostomy HME with Vent Swivel Oxygen Port","Flexicare ThermoTrach Tracheostomy HME with Vent Swivel Oxygen Port","","Tracheostomy Care | AED 375 | in stock","KEEP URL"
"product","https://medhub.ae/product/portex-thermovent-t2-heat-moisture-exchanger/","200","yes","yes","Buy Portex Thermovent T2 Heat & Moisture Exchanger in Dubai | UAE | Online","Buy Portex Thermovent T2 Heat & Moisture Exchanger in Dubai | UAE | Online","","Tracheostomy Care | AED 800 | in stock","KEEP URL – clean product name (contains ""Buy … in Dubai | UAE | Online"")"
"product","https://medhub.ae/product/portex-thermovent-t-heat-moisture-exchanger/","200","yes","yes","Buy Portex Thermovent T Heat & Moisture Exchanger in Dubai | UAE | Online","Buy Portex Thermovent T Heat & Moisture Exchanger in Dubai | UAE | Online","","Tracheostomy Care | AED 600 | out of stock","KEEP URL – clean product name (contains ""Buy … in Dubai | UAE | Online"")"
"product","https://medhub.ae/product/flexicare-thermoshield-mini-viral-hme-filter-with-luer-port/","200","yes","yes","Buy Flexicare ThermoShield Mini Viral HME Filter with Luer Port in Dubai | UAE | Online","Buy Flexicare ThermoShield Mini Viral HME Filter with Luer Port in Dubai | UAE | Online","","Tracheostomy Care; Ventilator Accessories | AED 500 | in stock","KEEP URL – clean product name (contains ""Buy … in Dubai | UAE | Online"")"
"product","https://medhub.ae/product/pal-ultipor-breathing-circuit-filter/","200","yes","yes","Buy Pal Ultipor Breathing Circuit Filter in Dubai | UAE | Online","Buy Pal Ultipor Breathing Circuit Filter in Dubai | UAE | Online","","Ventilator Accessories | AED 24.15 | in stock","KEEP URL – clean product name (contains ""Buy … in Dubai | UAE | Online"")"
"product","https://medhub.ae/product/covidien-dar-adult-pediatric-electrostatic-filter-hme/","200","yes","yes","Buy Covidien DAR Adult-Pediatric Electrostatic Filter HME in Dubai | UAE | Online","Buy Covidien DAR Adult-Pediatric Electrostatic Filter HME in Dubai | UAE | Online","","Tracheostomy Care; Ventilator Accessories | AED 250 | in stock","KEEP URL – clean product name (contains ""Buy … in Dubai | UAE | Online"")"
"product","https://medhub.ae/product/covidien-shiley-speaking-valve/","200","yes","yes","Buy Covidien Shiley Speaking Valve in Dubai | UAE | Online","Buy Covidien Shiley Speaking Valve in Dubai | UAE | Online","","Tracheostomy Care | AED 225 | in stock","KEEP URL – clean product name (contains ""Buy … in Dubai | UAE | Online"")"
